Frequency (Hz),Channel 1 level (dBFS),Channel 2 level (dBFS)
10,-11.283481126880941,-11.532402945460225
10,-9.019449061373889,-8.876769688771061
10,-9.020325757095383,-8.62728748517736
10,-11.290038055235575,-11.530676647706754
10,-9.951765714222601,-10.24635391220444
11,-9.543407134538112,-9.652969766468265
11,-9.605800596503135,-9.902405736887614
11,-9.705173998564382,-9.552361820388787
11,-9.178604142641424,-9.703797189807245
12,-10.892275330405786,-11.821865577180473
12,-10.686002364140995,-11.083831308134526
12,-10.312250103972813,-11.058299740905616
13,-11.42118769994171,-11.235078561918234
13,-11.994503563930733,-11.676570233203327
13,-11.075246022643567,-10.7951618097035
13,-10.851494343589698,-11.025017428617074
14,-11.728177980499366,-11.399529433678401
14,-11.12994453767334,-11.284549029220164
14,-11.924030951343704,-12.277605262325986
14,-12.358455641808801,-12.653372322380426
15,-11.624869420449967,-11.439908778824295
15,-12.413956661268335,-12.2464577171987
15,-11.50156172048189,-11.544604228906335
16,-13.006268450871671,-13.450443420433983
16,-11.375019807202017,-11.467589648175688
16,-11.926457180702185,-12.211619449766806
16,-12.352646955249943,-12.143978984655204
17,-12.33837009724469,-12.482636718916494
17,-13.961175499171913,-13.287986217780249
17,-13.621369436908514,-13.697915447359419
18,-12.673476084847712,-13.02115769542901
18,-12.956949206556308,-12.640753031580713
18,-13.286343723291017,-14.11500945760717
19,-13.169246900326103,-12.83435400742964
19,-13.910864569571162,-13.627269481446453
19,-12.823099504093028,-13.001382982599031
20,-13.877131032688263,-14.070417304362822
20,-13.214100222962022,-12.940574008698652
20,-13.964115976591808,-13.782327504354262
21,-12.575950120696879,-12.806638175872058
21,-13.939072135095339,-13.768657186271936
21,-13.892354898205829,-13.500344945926903
22,-13.825471133156887,-14.097158091223617
22,-14.311583747084006,-13.984603341054344
22,-14.338135364239681,-14.529993460249754
23,-14.16373169711722,-13.835221551004265
23,-13.393019322807353,-13.301496318767933
24,-14.222155117078414,-13.752712579444482
24,-13.915406087368345,-13.876505196227287
24,-13.88528841614257,-13.390546398476031
25,-13.92628413224942,-13.193027235419576
25,-14.52857421159293,-13.93961832080832
26,-14.060358726643047,-13.767489275487952
26,-14.31384881463588,-14.737636468589846
26,-14.811307363088245,-14.831251239324692
27,-14.126893927548876,-14.54123787379732
27,-14.912752276570819,-14.813087056719516
28,-14.349257380706822,-14.303952768240498
28,-14.212306313164943,-14.005728249753565
28,-14.33938610064441,-14.44315500669776
29,-14.620316019710968,-14.17874532099548
29,-14.885051375038328,-15.09974392167077
30,-14.305710322341993,-14.152503300514104
30,-14.052824737902446,-13.585914818339964
31,-14.85316318920504,-14.535312370828317
31,-13.602953480219822,-13.960241061721687
31,-14.193907066041186,-13.765265122485877
32,-14.117384161225734,-13.933059858984349
32,-14.538291305602554,-14.483294597255414
33,-14.334353466013793,-13.995810804444451
33,-14.334558243628974,-14.372048903201597
34,-13.797177955079965,-13.650633698199767
