Frequency (Hz),Channel 1 level (dBFS),Channel 2 level (dBFS),Channel 1 THD (IEEE) (dB),Channel 2 THD (IEEE) (dB)
10,-19.99937831323242,-16.510536574707032,-104.28025,-104.28025
11,-17.185645997802737,-16.58185223071289,-100.96489,-100.96489
12,-15.791499947021485,-14.122072431640625,-100.201355,-100.201355
13,-16.164914654541015,-13.6718518996582,-100.07779,-100.07779
14,-18.826388885498048,-16.457355203124997,-100.02095,-100.02095
15,-17.65767680859375,-16.939741256103517,-100.00456,-100.00456
16,-13.559110935546876,-11.05827166040039,-100.00177,-100.00177
17,-10.999818886962892,-8.617982694091797,-100.00069,-100.00069
18,-19.21887967524414,-16.63335605415039,-100.00027,-100.00027
19,-18.283988999267578,-16.682146014404296,-100.00011,-100.00011
20,-17.28633500151367,-16.403308873779295,-100.00004,-100.00004
21,-14.966339111279297,-12.100105235791016,-100.000015,-100.000015
22,-18.089267706689455,-15.13079838208008,-100.00001,-100.00001
23,-14.085130732373045,-10.560861561523438,-100.0,-100.0
24,-18.034095737597653,-15.537597655810544,-100.0,-100.0
25,-18.24189572241211,-14.917226743408204,-100.0,-100.0
26,-14.03380203515625,-10.08814810859375,-100.0,-100.0
28,-11.68052081567383,-7.888313509643556,-100.0,-100.0
29,-13.323036186279296,-9.211183594140625,-100.0,-100.0
30,-15.362741479003908,-10.890592543261718,-100.0,-100.0
31,-15.029047058886718,-10.122564324169922,-100.0,-100.0
33,-13.211198800732422,-8.774450397338867,-100.0,-100.0
34,-12.776777219921875,-7.982397050317381,-100.0,-100.0
36,-11.217708554467773,-6.483793234399414,-100.0,-100.0
37,-11.764028596850586,-6.522132868823242,-100.0,-100.0
39,-11.910230621728516,-6.160940172705079,-100.0,-100.0
40,-11.695415475122068,-6.078147839965819,-100.0,-100.0
42,-10.566596945141601,-5.272573447631835,-100.0,-100.0
44,-11.746225368847657,-5.293558137255861,-100.0,-100.0
45,-9.694950081469727,-4.2740822196533195,-100.0,-100.0
47,-10.488908769140625,-4.259487112524415,-100.0,-100.0
49,-9.459117888598634,-3.688831306445312,-100.0,-100.0
51,-9.06578823322754,-3.225410422778321,-100.0,-100.0
53,-10.029384584399413,-3.1974143683105467,-100.0,-100.0
55,-8.866090815649414,-2.81952671916504,-100.0,-100.0
57,-8.857941630126952,-2.6269922350585944,-100.0,-100.0
59,-9.228498426977538,-2.3830241667724614,-100.0,-100.0
61,-8.898603486865234,-2.2613544476318346,-100.0,-100.0
64,-8.524149895849611,-1.5728177860107415,-100.0,-100.0
66,-8.596378303002929,-1.8545551416748047,-100.0,-100.0
68,-8.040290832441407,-1.4926204656103508,-100.0,-100.0
71,-8.256597491308593,-1.2936248854492192,-100.0,-100.0
73,-8.054962183862305,-1.0982303686035166,-100.0,-100.0
76,-9.274439808496094,-1.3408479607910166,-100.0,-100.0
79,-7.876668939331054,-1.019744871948241,-100.0,-100.0
82,-8.61212825529785,-0.9117879878759751,-100.0,-100.0
84,-8.660964013896486,-0.8402414033691414,-100.0,-100.0
87,-8.534461023022462,-0.8950357183105453,-100.0,-100.0
91,-8.3795070617041,-0.8257446335595695,-100.0,-100.0
94,-9.20257854168457,-0.8879957216357433,-100.0,-100.0
97,-8.854796407788086,-1.0826120405468735,-100.0,-100.0
100,-8.805702222558594,-0.8897781330957031,-100.0,-100.0
104,-9.319014549570312,-1.0933637626025394,-100.0,-100.0
107,-9.957296375664061,-1.2578392071826165,-100.0,-100.0
111,-9.688727377661134,-1.3353509856054693,-100.0,-100.0
115,-9.99841499378418,-1.6092567483789075,-100.0,-100.0
118,-9.790595054830078,-1.7443227721923833,-51.540165,-57.698875
122,-9.902687075722657,-1.9240665387207017,-47.46824,-52.88982
127,-10.468585971166991,-2.1690712012890643,-46.96875,-57.450592
131,-10.736156464001954,-2.396509168911134,-42.824024,-58.260757
135,-10.94020271388672,-2.5261211444824205,-41.812115,-56.333996
140,-11.356651306155275,-2.816717147836915,-43.674168,-64.44434
144,-11.636405944848633,-3.0104522679687484,-43.005035,-72.41909
149,-11.724492073415039,-3.1999101621630857,-41.94715,-80.06652
154,-11.974032401985351,-3.4939794507080073,-41.66557,-86.98997
159,-12.238574028096679,-3.730809213867186,-41.450157,-92.575424
164,-12.344177245981445,-3.978046416992189,-42.857624,-96.331245
169,-12.646434780512696,-4.223369597923828,-44.7259,-98.3839
175,-13.26920604723535,-4.547097206052733,-47.348026,-99.33503
181,-13.4937734607959,-4.818402289993163,-45.807526,-99.73519
187,-12.959503173433593,-5.102012633991212,-48.127487,-99.89601
193,-11.180474280244141,-5.470047950718751,-48.502098,-99.9594
199,-8.402471541254883,-5.806200027435157,-54.236473,-99.98418
205,-6.2123117455224595,-6.212561607409569,-62.365833,-99.993835
212,-6.390375139887695,-6.827983855748048,-70.387886,-99.997604
219,-7.83032608342285,-7.3529968266064465,-78.14754,-99.99907
225,-8.859012605576172,-7.608234406152345,-85.30945,-99.99963
233,-9.918979645161134,-8.116914748899415,-91.30134,-99.999855
240,-10.433891297749025,-8.596080780237305,-95.545166,-99.99994
248,-10.92639637477539,-9.20242786418164,-97.98763,-99.999985
256,-11.23000717705078,-9.26356506311328,-99.16078,-99.99999
264,-12.274153704677733,-8.507601737796875,-99.66378,-77.66002
272,-12.977594374370117,-7.28500938543457,-75.19721,-84.87547
281,-13.429094309921876,-7.018543244262695,-72.432686,-90.962875
289,-13.625413896884766,-7.4102573390625,-61.356968,-95.32899
299,-14.855072970717774,-7.803622244482423,-58.061024,-97.87555
308,-15.724575041865236,-8.104166032504882,-60.10283,-99.11069
318,-14.467231754213866,-8.511272427568361,-56.20236,-99.6431
328,-12.518815038686522,-8.909699440483397,-58.43439,-99.85939
338,-11.31558704849121,-9.24120616665039,-58.581367,-99.94502
348,-10.744451520717774,-9.457527160762695,-58.504314,-99.97857
359,-10.141384125322265,-9.557363507626953,-56.501945,-71.76352
370,-9.508757591953124,-9.837761878638673,-58.926132,-79.449905
382,-8.834098818007813,-9.669504165274414,-59.750526,-68.382935
394,-8.493878361767578,-9.56151485426172,-65.75997,-76.23141
406,-8.109677312128905,-9.508112907325195,-68.24666,-71.61268
419,-7.4793214805175765,-9.124392509853514,-76.10049,-79.30765
432,-7.129789357226564,-8.743457792119141,-83.47017,-86.33094
445,-6.718860627524414,-8.370040893597658,-89.842255,-92.08291
459,-6.324920654135742,-8.006935119624025,-94.591835,-96.03261
473,-5.943844799487305,-7.558320047109376,-97.48323,-98.23546
488,-5.438472743061524,-6.919553756236329,-98.93253,-99.27028
503,-5.12381553927246,-6.487453458793944,-99.56895,-99.708755
518,-4.737916947504882,-6.055791853251954,-99.82974,-99.88552
534,-4.358489036723633,-5.5266237254638675,-99.93336,-99.955284
550,-4.048344617060547,-5.1004838943749995,-99.974014,-99.982574
567,-4.008969309843749,-4.8985548050292955,-99.98988,-99.99322
585,-3.8017034518994137,-4.649064064393556,-99.99606,-99.99736
603,-3.666680334233398,-4.399880409965821,-99.99847,-99.99897
621,-3.1468667986084,-3.9050188066748035,-99.9994,-99.9996
640,-2.9077692038769527,-3.6539583182226565,-99.99977,-99.99985
660,-2.552265165527345,-3.2481250767431646,-99.99991,-99.99994
680,-2.5088071828125003,-3.2548265454453116,-99.99996,-99.999985
701,-2.0780248653027336,-2.823803898740234,-99.99999,-99.99999
722,-1.920413973408202,-2.673843384041991,-99.99999,-100.0
744,-1.6246280668457018,-2.4156589493359384,-100.0,-100.0
767,-1.467008589892579,-2.2294464101171876,-100.0,-100.0
791,-1.1328926042382825,-1.9622039794638688,-100.0,-100.0
815,-0.9001483887500008,-1.7012176522167977,-100.0,-100.0
840,-0.7201280599316391,-1.51244068124414,-100.0,-100.0
865,-0.5707387935986326,-1.3940191267236344,-100.0,-100.0
891,-0.31817531363769547,-1.1106386181093733,-100.0,-100.0
919,-0.0030126614453109823,-0.7477560044746099,-100.0,-100.0
947,0.20030975580078092,-0.4969673156552723,-100.0,-100.0
975,0.44745540274414,-0.2255983352320321,-100.0,-100.0
1005,0.6433696727197251,0.0,-100.0,-100.0
1036,0.8783016217871094,0.2874164583535155,-100.0,-100.0
1067,0.9756126406738286,0.3355560306005856,-100.0,-100.0
1099,1.0420150756162112,0.4082012177167975,-100.0,-100.0
1133,0.9407997128305663,0.39242458336914154,-100.0,-100.0
1167,0.821081163701173,0.3189830781064451,-100.0,-100.0
1203,0.5613212578662115,0.11547851540429832,-100.0,-100.0
1239,0.18599700796386642,-0.2647991192431647,-100.0,-100.0
1277,-0.2579803452099618,-0.7694759373828113,-100.0,-100.0
1315,-0.6987400055781237,-1.235614779023436,-100.0,-100.0
1355,-0.8575468063203111,-1.3832330671484385,-100.0,-100.0
