Frequency (Hz),Channel 1 level (dBFS),Channel 2 level (dBFS),Channel 1 THD (IEEE) (%),Channel 2 THD (IEEE) (%)
10,-20.092230921508786,-19.807112673950193,0.0,0.0
11,-18.942934945434573,-19.288489105102542,0.0,0.0
12,-17.440431130737302,-19.153594244262692,0.0,0.0
13,-19.955642510131838,-19.532032895874025,0.0,0.0
14,-19.30259678918457,-18.49236110827637,0.0,0.0
15,-16.42395226208496,-16.293119425415043,0.0,0.0
16,-17.729163613403323,-16.512169506713867,0.0,0.0
17,-16.493544664916996,-17.139804797045898,0.0,0.0
18,-17.083748654174805,-17.00883011555176,0.0,0.0
19,-16.632735084350585,-16.71188256809082,0.0,0.0
20,-12.893615690014649,-12.2738771329834,0.0,0.0
21,-14.44961450759277,-13.053517382446287,0.0,0.0
22,-13.419544219848632,-12.49386115925293,0.0,0.0
23,-13.611016286694337,-12.522668862719726,0.0,0.0
24,-13.228739772241212,-12.263623278881838,0.0,0.0
25,-13.190087103637694,-12.554687543725585,0.0,0.0
26,-11.972677331420897,-11.34327777282715,0.0,0.0
27,-11.26587484641113,-10.09468556574707,0.0,0.0
28,-10.770265534448242,-9.135666715942385,0.0,0.0
30,-9.972633076586916,-8.538322258227538,0.0,0.0
31,-8.917237498657226,-7.327275488159181,0.0,0.0
32,-9.243628264624022,-7.697235829760743,0.0,0.0
34,-8.168793403588868,-6.3439538646728515,0.0,0.0
35,-8.567100282055662,-7.140111697387695,0.0,0.0
36,-8.184013094604492,-6.842112750366212,0.0,0.0
38,-7.31595209260254,-5.835342178222657,0.0,0.0
39,-7.0249683414306645,-5.165814618847655,0.0,0.0
41,-5.99128834411621,-3.6911003636962896,0.0,0.0
42,-5.924705190673826,-3.844067294091797,0.0,0.0
44,-5.410340997827149,-3.403022571972656,0.0,0.0
46,-5.307021821362305,-3.22275471496582,0.0,0.0
48,-4.852590291699219,-2.7847201561279284,0.0,0.0
49,-4.685080757714843,-2.5085885398437497,0.0,0.0
51,-4.4851243208251965,-2.2005374245849616,0.0,0.0
53,-4.202662260058595,-1.7864281541748035,0.0,0.0
55,-3.7278821510986333,-1.3085820888671869,0.0,0.0
57,-3.552478540551757,-1.0845148283203123,0.0,0.0
59,-3.4383395191162123,-1.0316370026367174,1.9773675,1.2246443
61,-3.1471364073486328,-0.41663811076660195,0.36184126,0.110556275
64,-2.954202862670897,-0.33667258420410207,0.36184126,0.110556275
66,-2.814447188427735,-0.2417528440429706,0.69600475,0.52057123
68,-2.7085416341210937,-0.11242079345703004,0.6692042,0.11379698
71,-2.5103456924804703,0.16092036647949115,0.85350174,0.67536885
73,-2.4572665760009755,0.19980026157226405,0.52795494,0.20274225
76,-2.54890227279785,0.12146685131835966,0.14376459,0.20274225
78,-2.5110356785156256,0.2696554778808604,0.65966743,0.62131566
81,-2.3453476322753914,0.2492687837402343,0.7027308,0.38789696
84,-2.3468191694580085,0.21434523520507653,0.59014714,0.59760755
87,-2.324092627329101,0.2346127065917969,0.3700651,0.15480559
90,-2.3126389992236334,0.16357493523925726,1.073151,0.4684454
93,-2.4320290085498044,0.10427162731933493,0.6370819,0.45755008
96,-2.437392475747071,0.10599732534179651,0.5696251,0.6648446
99,-2.4600868224169936,0.08569931767089756,0.23161052,0.6648446
102,-2.5435106743115234,-0.13537048831054577,0.84416586,0.35031348
106,-2.574228038476562,-0.19057251389160257,0.69584817,0.57580084
109,-2.716483844238283,-0.22512793962890498,0.5961719,0.47305796
113,-2.8097133715087885,-0.24107503933593577,0.8003225,0.3271943
117,-3.0169672947656245,-0.30395651933593726,0.75692004,0.34415302
121,-3.196031337158203,-0.4044787907958991,0.620239,0.43278965
125,-3.4211688006738292,-0.49020814549804825,0.6976363,0.6113085
129,-3.5345337383837894,-0.5825536250732419,1.1377598,0.6399935
133,-3.9019544078173816,-0.7423341207763663,0.75628513,0.44020656
137,-4.207413434956056,-0.8651564165429697,0.51413894,0.34663117
142,-4.516910791162111,-1.084957840258788,1.2221153,0.652799
146,-4.7781181331005875,-1.3063163732666006,0.38453102,0.45139608
151,-5.112833259399412,-1.5536139042089836,0.48201108,0.3627106
156,-5.474679708735351,-1.8334586656982417,0.4944054,0.41516843
161,-5.800664187861329,-2.1385586277148434,0.69969285,0.49174228
166,-6.230378150783203,-2.479507924331056,0.7027022,0.4269807
172,-6.653691053000976,-2.848276853675781,0.9509919,0.5431815
177,-6.968483686487499,-3.1582396029072264,0.9442907,0.46021816
183,-7.447710275606251,-3.566008329409179,0.7327287,0.46781978
189,-7.671878576899413,-4.013635396683593,1.2748586,0.4721703
195,-7.084920406656249,-4.521286964537108,0.8349526,0.36012316
201,-5.565117598964843,-5.05695223772754,0.5085318,0.33932492
208,-3.752446174360351,-5.659364700324609,0.4868,1.1157025
214,-3.4916977885791027,-6.211905479419922,0.5436915,0.6854236
221,-4.371545552833009,-6.54239296930664,0.34053373,0.41477555
228,-5.188590285878906,-6.576447725067382,0.53276557,0.5850076
235,-5.815708163896485,-6.856078148671877,0.46226475,0.61273354
242,-6.3440184592236335,-7.164504528066406,0.643157,0.5022485
250,-6.866762636274412,-7.454601764850587,0.43077815,0.5021259
258,-7.472365855610352,-7.772054195307618,0.38103157,0.5458676
266,-8.44975113904297,-7.725120782853516,0.37204418,0.71192753
274,-9.551202058901367,-7.01182675524414,0.40575027,0.72382164
283,-10.102335693627928,-6.639580011336914,0.59404194,0.6465493
292,-9.326424360727536,-6.88469767554297,0.3532581,0.30362064
301,-7.56082892433496,-7.399253129311525,0.5974969,0.26641247
310,-6.03139924987207,-8.249654292851563,0.67183936,0.4365285
320,-5.425287961572266,-9.18919539512207,0.4527381,0.26445863
330,-5.395041226235353,-9.734383348276367,0.49654296,0.7285576
340,-5.518803358520508,-9.772295714536135,0.31440446,0.34806234
351,-5.6355555027197255,-9.964404821336913,0.28815946,0.29898077
362,-5.546457529330077,-9.820911171938477,0.18868749,0.2628401
373,-5.542897462867188,-9.781708001342771,0.18559381,0.35117796
385,-5.164685488911132,-8.981547590595703,0.44282424,0.4013329
396,-5.312435391132812,-9.008448839276369,0.23088378,0.37234515
409,-5.037590265654298,-8.52666163387207,0.29714507,0.41496307
421,-4.986836197661134,-8.253805397817384,0.14710303,0.36398804
