Frequency (Hz),Channel 1 level (dBFS),Channel 2 level (dBFS)
10,-23.44169016527143,-23.556891006288133
10,-21.33863671865773,-21.213237857827323
10,-22.362554307567372,-22.32565677658075
10,-24.059273892158195,-24.01283344542309
10,-23.972693582413655,-23.917890794445853
11,-24.61897644473595,-24.67587142255936
11,-24.341462407734276,-24.233392990908044
11,-24.436624864777578,-24.566625440378054
11,-24.28273378009098,-24.168870036370386
12,-24.691125524880967,-24.733696544019537
12,-24.678359323185887,-24.725577953371072
12,-24.994592015933023,-24.921868067189912
13,-25.65154619911756,-25.52203810126818
13,-25.394313273088727,-25.400910982917097
13,-25.235093905438916,-25.33128681706772
13,-25.35184689243583,-25.32993702665005
14,-25.5111454876413,-25.531397738217954
14,-25.581683174994005,-25.556117039422247
14,-25.922053712206598,-25.954149266999018
14,-26.04991964792287,-25.98397139938153
15,-25.929541795772423,-25.88889659641115
15,-26.056645547975542,-26.01768898341974
15,-25.946877072909395,-25.849548185803314
16,-26.59057490714089,-26.540991637738784
16,-26.112799242152384,-26.095484668465794
16,-26.388229265104997,-26.39755981450068
16,-26.275955997677876,-26.225195682450952
17,-26.19391414796288,-26.164507161741675
17,-26.671648362757978,-26.635585522224645
17,-26.307458773461512,-26.166438340913388
18,-26.74335625878591,-26.720282277076464
18,-26.669478245209795,-26.561783413246495
18,-26.747758393555287,-26.40799544895893
19,-26.523059817089965,-26.54722095992898
19,-26.427353332060072,-26.456951689821523
19,-26.699982554680503,-26.62678111188464
20,-26.50683638044672,-26.397419619998956
20,-26.63958159052372,-26.441833262757704
20,-26.647274878624337,-26.5285993838556
21,-26.489828400756757,-26.367024844478586
21,-26.32389489206396,-26.147494412135444
21,-26.31993016991658,-26.326200055971846
22,-26.560602700128683,-26.36401516140978
22,-26.332418612069496,-26.104547509547167
22,-25.94873044360262,-26.00228107877213
23,-26.395129807662613,-26.213326451752586
23,-26.247697969085763,-26.135711831241153
24,-26.100271139055188,-25.947145244040065
24,-26.177989055707066,-25.91623371946386
