Frequency (Hz),Channel 1 level (dBFS),Channel 2 level (dBFS),Channel 1 THD (IEEE) (dB),Channel 2 THD (IEEE) (dB)
10,-16.389541,-13.362830999999998,-104.28025,-104.28025
11,-23.652522,-21.433438000000002,-100.96489,-100.96489
12,-31.202946000000004,-32.263665,-100.201355,-100.201355
13,-22.420479999999998,-20.753825999999997,-100.07779,-100.07779
14,-24.858845000000002,-24.055656999999997,-100.02095,-100.02095
15,-26.069438999999996,-27.84854,-100.00456,-100.00456
16,-28.092818,-25.145756000000002,-100.00177,-100.00177
17,-15.550665000000002,-14.349989,-100.00069,-100.00069
18,-18.543880299999998,-18.7964693,-100.00027,-100.00027
19,-25.2312985,-23.907541,-100.00011,-100.00011
20,-23.176242700000003,-22.864872,-100.00004,-100.00004
21,-23.5471193,-26.9265023,-100.000015,-100.000015
22,-20.879257600000003,-20.002440999999997,-100.00001,-100.00001
23,-16.057248800000004,-15.435706,-100.0,-100.0
24,-14.963718700000001,-14.367324700000001,-100.0,-100.0
25,-12.965303000000002,-12.357073,-100.0,-100.0
26,-14.891555499999999,-15.652181299999999,-100.0,-100.0
28,-11.870928000000001,-11.595133,-100.0,-100.0
29,-12.595474,-12.250295600000001,-100.0,-100.0
30,-12.1043835,-12.0677547,-100.0,-100.0
31,-12.1012782,-12.0108583,-100.0,-100.0
33,-10.6684283,-10.254948,-100.0,-100.0
34,-11.094155800000001,-10.7337876,-100.0,-100.0
36,-9.6507986,-9.4713651,-100.0,-100.0
37,-9.7621442,-9.1883967,-100.0,-100.0
39,-8.9045006,-8.3841684,-100.0,-100.0
40,-8.6683961,-8.470501,-100.0,-100.0
42,-8.6529388,-8.286691999999999,-100.0,-100.0
44,-8.592905300000002,-8.0705552,-100.0,-100.0
45,-8.0810167,-7.5393812,-100.0,-100.0
47,-7.6832604,-7.3230309,-100.0,-100.0
49,-7.5078337,-7.008919199999999,-100.0,-100.0
51,-7.205829799999999,-6.7184237,-100.0,-100.0
53,-7.1094992,-6.534019600000001,-100.0,-100.0
55,-7.0065749,-6.3975964,-100.0,-100.0
57,-6.9225665,-6.2031221,-100.0,-100.0
59,-6.8637255999999995,-6.2178553999999995,-100.0,-100.0
61,-6.730337199999999,-6.0301265,-100.0,-100.0
64,-6.690403949999999,-6.156804,-100.0,-100.0
66,-6.526083,-6.0260203,-100.0,-100.0
68,-6.58348843,-6.12178614,-100.0,-100.0
71,-6.5765439,-6.3472863,-100.0,-100.0
73,-6.4420416,-6.1162683,-100.0,-100.0
76,-6.3852376500000005,-6.2564020000000005,-100.0,-100.0
79,-6.367197000000001,-6.426811,-100.0,-100.0
82,-6.1147928,-6.48931214,-100.0,-100.0
84,-6.05139252,-6.6414997,-100.0,-100.0
87,-6.000761949999999,-6.704669,-100.0,-100.0
91,-5.85045244,-6.84475136,-100.0,-100.0
94,-5.835127839999999,-6.9713316700000005,-100.0,-100.0
97,-5.8499138,-7.12836743,-100.0,-100.0
100,-5.9821301,-7.04698566,-100.0,-100.0
104,-6.23066429,-7.189345370000001,-100.0,-100.0
107,-6.378622020000001,-7.18229102,-100.0,-100.0
