Frequency (Hz),Channel 1 level (dBFS),Channel 2 level (dBFS),Channel 1 THD (IEEE) (%),Channel 2 THD (IEEE) (%)
10,-24.29159176898193,-24.484138468933104,0.0,0.0
11,-18.6668891461792,-20.414050819274905,0.0,0.0
12,-26.045321000427244,-25.93009208514404,0.0,0.0
13,-25.75151138372803,-28.15046112615967,0.0,0.0
14,-27.2113539989624,-27.928652802917483,0.0,0.0
15,-21.62752072064209,-22.964926714538578,0.0,0.0
16,-24.629246201599123,-25.681836750671387,0.0,0.0
17,-21.661808100280766,-21.845658259265136,0.0,0.0
18,-17.062425450134278,-18.163688704724123,0.0,0.0
19,-18.765495132263183,-20.347953773229982,0.0,0.0
20,-16.662713018200684,-17.372850407214354,0.0,0.0
21,-16.34631727401123,-17.573717158142088,0.0,0.0
22,-14.42578601824951,-14.571773489880371,0.0,0.0
23,-14.598180784069825,-15.47040846385498,0.0,0.0
24,-14.173763308923341,-15.15520290687256,0.0,0.0
25,-12.273347639831542,-12.84813789925537,0.0,0.0
26,-12.243653398010252,-12.850005945129396,0.0,0.0
27,-11.172730429602051,-11.681793224133301,0.0,0.0
28,-11.078551247644043,-11.727655279479983,0.0,0.0
30,-9.850607586779784,-10.279928970568847,0.0,0.0
31,-9.801542498962402,-10.227834913513185,0.0,0.0
32,-8.729600669104002,-9.27828574888916,0.0,0.0
34,-7.929059707604981,-8.271200912097168,0.0,0.0
35,-8.314730401379393,-8.647204173278809,0.0,0.0
36,-8.053248133361816,-8.420862407043458,0.0,0.0
38,-7.237274915173341,-7.386055717346192,0.0,0.0
39,-7.029014781555176,-7.320944051525878,0.0,0.0
41,-6.8415090243530265,-6.94556642052002,0.0,0.0
42,-6.86902682305908,-7.040195185632324,0.0,0.0
44,-6.4825217458129885,-6.595663830212402,0.0,0.0
46,-5.989163125378418,-6.110822914123535,0.0,0.0
48,-6.031286924084473,-6.179792139465331,0.0,0.0
49,-5.806770554162597,-5.85390161204834,0.0,0.0
51,-5.568958968957521,-5.551849108239747,0.0,0.0
53,-5.523967535021974,-5.464754760925292,0.0,0.0
55,-5.200106386633301,-5.123677036682128,0.0,0.0
57,-5.314291704309081,-5.171405048962402,0.0,0.0
59,-5.2768528934448256,-5.185051728894042,1.3043206,1.7014006
61,-4.985396104309082,-4.782703136096192,0.57041276,1.0689001
64,-5.014331074645995,-4.983363906530762,0.57041276,1.0689001
66,-4.855540061047364,-4.868912916369631,0.57041276,0.06446741
68,-4.870630981960449,-5.020092721862792,0.53340197,0.06268055
71,-4.605555767858888,-4.951337590979005,0.54282993,0.5049151
73,-4.553127057263183,-5.019261589929201,0.25110763,0.36411217
76,-4.178477048493651,-4.887761855041504,0.25110763,0.36411217
78,-4.243118999133301,-4.995449769616698,0.18878894,0.0844907
81,-4.198143233166505,-5.076232658215332,0.41411677,0.40560603
