Frequency (Hz),Channel 1 level (dBFS),Channel 2 level (dBFS)
10,-13.431106720961727,-13.446118182401582
10,-13.13662032539722,-13.162039907537112
10,-13.159494321775048,-13.181932441732334
10,-12.807513155223115,-12.833020209145639
10,-12.998301949895877,-13.02811591460061
11,-12.111133584227952,-12.131680969911487
11,-12.074941842625153,-12.096543638378298
11,-12.022610887961468,-12.056253016258777
11,-11.95654775990995,-11.98536681484355
12,-11.110983335316275,-11.140697519701954
12,-11.124503171339578,-11.148059018508148
12,-11.125776948807195,-11.150423537407969
13,-10.283281820553539,-10.302401395212238
13,-10.276124498629601,-10.301635871092687
13,-10.373081331966292,-10.389778028343125
13,-10.420779766413562,-10.44121813807386
14,-9.591585338894864,-9.61561627406651
14,-9.615015935148623,-9.637885372218712
14,-9.720726442643578,-9.743726243408819
14,-9.542961805629217,-9.5656797527286
15,-9.10670619421837,-9.123466359528924
15,-8.912952797600019,-8.931725207405131
15,-9.107466050949064,-9.129284054865042
16,-8.43484390816218,-8.454305396507904
16,-8.375967093988567,-8.400316958763355
16,-8.49217175201102,-8.512757535964026
16,-8.530870748491798,-8.549294448741696
17,-7.9235816634259795,-7.943937002983445
17,-7.910527351194839,-7.932137472084962
17,-7.892075302306795,-7.90828491474692
18,-7.357880851409307,-7.373876311604745
18,-7.365394589931702,-7.3853583490962205
18,-7.403868615111046,-7.419016770585882
19,-7.094091510231603,-7.113461181173218
19,-7.176623896748669,-7.189115539671731
19,-7.033802821294641,-7.050521532564373
20,-6.589339015673929,-6.603727452451402
20,-6.767938787026326,-6.783638714869813
20,-6.579929344319844,-6.5916692274626065
21,-6.378616047059539,-6.390510227519252
21,-6.233034509922174,-6.247187242137942
21,-6.373136916671571,-6.387289947441852
22,-5.983193251606846,-5.997787524963886
22,-5.932725428487876,-5.940373591371694
22,-5.969529672865095,-5.978153743807949
23,-5.6804495867048725,-5.6927126769542244
23,-5.68024543513493,-5.6905736625325325
24,-5.3688945962303976,-5.376358616309874
24,-5.370927216438497,-5.38086672985116
24,-5.388176765538606,-5.395826859352308
25,-5.166163371320035,-5.175525410693702
25,-5.141686683981115,-5.149645332069724
26,-4.7899855936954125,-4.7972055510575515
26,-4.955668415170523,-4.96529837295002
26,-4.805128085798154,-4.810205327445885
27,-4.743403160198248,-4.747614714820783
27,-4.532083794295671,-4.536971687584915
28,-4.443866268962417,-4.448072155009664
28,-4.562852287864187,-4.563258981046987
28,-4.458100933012815,-4.462153621260523
29,-4.136436875769883,-4.138374222859712
29,-4.101884423823142,-4.106569847339889
30,-4.130571652935208,-4.1343608146666355
30,-4.031158254179447,-4.034638427404426
31,-3.7500445959051163,-3.749738746067397
31,-3.8580578001639214,-3.8611052953598826
31,-3.9744383355410555,-3.9730263743374667
32,-3.6138092350840925,-3.6138351911193016
32,-3.7581754497648863,-3.758287146717029
33,-3.478762838549752,-3.4800674785876833
33,-3.599356887085653,-3.5974818858120763
34,-3.3950516073541337,-3.391836261984528
34,-3.3577671557832183,-3.3557335108492623
35,-3.246844037265209,-3.24401968676462
35,-3.248171178091166,-3.2438132915720264
36,-3.143636873135364,-3.13937287498989
36,-3.139261614668655,-3.133361946436583
37,-2.9600080003982647,-2.956505098612425
37,-2.9737244244271874,-2.9717553848110008
38,-2.951462130908249,-2.9437284175076304
38,-2.8031223428975256,-2.797398754231148
39,-2.8380391527983058,-2.829770742027037
39,-2.7981855791050787,-2.791230447686818
40,-2.5434392491277364,-2.5386546564327137
40,-2.590743988555742,-2.582419334011993
41,-2.5463595751844945,-2.5365834601287762
41,-2.5511442569461025,-2.5443362187244
42,-2.5380475541364884,-2.528626999675396
42,-2.5775031029461974,-2.566932983974473
43,-2.366127487435726,-2.3591921320867364
44,-2.275843164788908,-2.264353548530398
44,-2.316751303186205,-2.3050595712447706
45,-2.2334231194539864,-2.2206478198638315
45,-2.1710909525403785,-2.160029922916186
46,-2.138921281089072,-2.1279547332305455
47,-2.0678336242439963,-2.0542046691832754
