Frequency (Hz),Channel 1 level (dBFS),Channel 2 level (dBFS),Channel 1 THD (IEEE) (dB),Channel 2 THD (IEEE) (dB)
10,-13.173149,-13.378265,-104.28025,-104.28025
11,-12.366108,-12.577728,-100.96489,-100.96489
12,-10.855652,-11.067045,-100.201355,-100.201355
13,-9.989325,-10.196789,-100.07779,-100.07779
14,-9.738625,-9.942303,-100.02095,-100.02095
15,-8.624977,-8.82839,-100.00456,-100.00456
16,-8.235048,-8.437124,-100.00177,-100.00177
17,-7.697359,-7.90156,-100.00069,-100.00069
18,-7.3194237,-7.5236607,-100.00027,-100.00027
19,-6.9077415,-7.10705,-100.00011,-100.00011
20,-6.3288803,-6.526268,-100.00004,-100.00004
21,-6.0794487,-6.2733727,-100.000015,-100.000015
22,-5.6512604,-5.847187,-100.00001,-100.00001
23,-5.3810062,-5.575964,-100.0,-100.0
24,-5.1185303,-5.3087883,-100.0,-100.0
25,-4.884901,-5.077879,-100.0,-100.0
26,-4.5365715,-4.7257557,-100.0,-100.0
28,-4.261759,-4.447912,-100.0,-100.0
29,-4.009861,-4.1976604,-100.0,-100.0
30,-3.6751995,-3.8584843,-100.0,-100.0
31,-3.4839458,-3.6675167,-100.0,-100.0
33,-3.3158207,-3.49691,-100.0,-100.0
34,-3.1050282,-3.2824364,-100.0,-100.0
36,-2.8408604,-3.0172539,-100.0,-100.0
37,-2.6768188,-2.8503933,-100.0,-100.0
39,-2.5554104,-2.7274456,-100.0,-100.0
40,-2.3266659,-2.49856,-100.0,-100.0
42,-2.2447987,-2.416626,-100.0,-100.0
44,-1.9654827,-2.1339588,-100.0,-100.0
45,-1.9675503,-2.1345348,-100.0,-100.0
47,-1.7851696,-1.9517651,-100.0,-100.0
49,-1.6194973,-1.7848778,-100.0,-100.0
51,-1.5685902,-1.7313023,-100.0,-100.0
53,-1.3505688,-1.5132294,-100.0,-100.0
55,-1.2995071,-1.4617023,-100.0,-100.0
57,-1.2159605,-1.3757162,-100.0,-100.0
59,-1.1300011,-1.2872849,-100.0,-100.0
61,-1.0746593,-1.2325325,-100.0,-100.0
64,-0.89695835,-1.052516,-100.0,-100.0
66,-0.9042454,-1.0586357,-100.0,-100.0
68,-0.79977417,-0.95763016,-100.0,-100.0
71,-0.7446461,-0.8977127,-100.0,-100.0
73,-0.6911144,-0.8466587,-100.0,-100.0
76,-0.65539265,-0.8080206,-100.0,-100.0
79,-0.545372,-0.697752,-100.0,-100.0
82,-0.5020628,-0.65360546,-100.0,-100.0
84,-0.48106098,-0.6309233,-100.0,-100.0
87,-0.40391445,-0.5538893,-100.0,-100.0
91,-0.35632706,-0.50432014,-100.0,-100.0
94,-0.32597256,-0.47391033,-100.0,-100.0
97,-0.3051672,-0.45178127,-100.0,-100.0
100,-0.2624359,-0.40989304,-100.0,-100.0
104,-0.21450901,-0.36108303,-100.0,-100.0
107,-0.19774818,-0.34353828,-100.0,-100.0
111,-0.15905285,-0.30331326,-100.0,-100.0
115,-0.123607635,-0.26828384,-100.0,-100.0
118,-0.112683296,-0.25952435,-75.24018,-74.38338
122,-0.07733154,-0.2215519,-58.745075,-58.69435
127,-0.06305885,-0.20692062,-66.827156,-66.77711
131,-0.035743713,-0.17832184,-74.7322,-74.68382
135,-0.02786827,-0.17033195,-82.21798,-82.1734
140,0.00084114075,-0.14270401,-88.81416,-88.77708
144,0.0074977875,-0.13523865,-93.88751,-93.86162
149,0.040431023,-0.10238743,-97.09389,-97.07931
154,0.045510292,-0.0962019,-98.75137,-98.7445
159,0.055882454,-0.08466625,-99.492645,-99.48974
164,0.07664299,-0.06521225,-99.79906,-99.79789
169,0.09392738,-0.045570374,-99.921265,-99.92081
175,0.101914406,-0.038348198,-99.969284,-99.9691
181,0.113396645,-0.025845528,-99.98803,-99.98796
187,0.123054504,-0.017210007,-99.995346,-99.995316
193,0.12849903,-0.0120687485,-99.998184,-99.99818
199,0.14117813,0.0018405914,-99.9993,-99.9993
205,0.14405346,0.0050554276,-99.999725,-99.999725
212,0.15842438,0.018341064,-99.99989,-99.99989
219,0.16217995,0.02271843,-99.99996,-99.99996
225,0.17189789,0.0328331,-99.999985,-99.999985
233,0.17764473,0.038719177,-99.99999,-99.99999
240,0.18458748,0.045560837,-100.0,-100.0
248,0.19101048,0.052430153,-100.0,-100.0
256,0.1938057,0.055854797,-100.0,-100.0
264,0.20018291,0.062563896,-100.0,-100.0
272,0.20544052,0.06749344,-100.0,-100.0
281,0.20744514,0.07003975,-100.0,-100.0
289,0.21049309,0.072732925,-100.0,-100.0
299,0.21203136,0.07591915,-100.0,-100.0
308,0.21810913,0.08066559,-100.0,-100.0
318,0.22052956,0.08363342,-100.0,-100.0
328,0.22227001,0.08608532,-100.0,-100.0
338,0.22468472,0.0871191,-100.0,-100.0
348,0.22640991,0.090078354,-100.0,-100.0
359,0.22707367,0.08990669,-100.0,-100.0
370,0.22967434,0.092419624,-100.0,-100.0
382,0.23087311,0.095458984,-100.0,-100.0
394,0.2308588,0.095641136,-100.0,-100.0
406,0.23067188,0.095131874,-100.0,-100.0
419,0.2324152,0.09698391,-100.0,-100.0
432,0.23194695,0.09700012,-100.0,-100.0
445,0.23221779,0.096321106,-100.0,-100.0
459,0.23156929,0.09674263,-100.0,-100.0
473,0.2307272,0.09558201,-100.0,-100.0
488,0.23006248,0.095804214,-100.0,-100.0
503,0.22987366,0.09382057,-100.0,-100.0
518,0.22808838,0.09395027,-100.0,-100.0
534,0.22591877,0.09193325,-100.0,-100.0
550,0.22490788,0.09096241,-100.0,-100.0
567,0.22192097,0.0895834,-100.0,-100.0
585,0.21960163,0.086764336,-100.0,-100.0
603,0.21660137,0.08489132,-100.0,-100.0
621,0.2146101,0.081671715,-100.0,-100.0
640,0.21130848,0.07921314,-100.0,-100.0
660,0.20757675,0.07624054,-100.0,-100.0
680,0.20302105,0.072133064,-100.0,-100.0
701,0.19912243,0.06855869,-100.0,-100.0
722,0.19483948,0.065294266,-100.0,-100.0
744,0.19067955,0.06093788,-100.0,-100.0
767,0.1851902,0.05606079,-100.0,-100.0
791,0.17982101,0.050951004,-100.0,-100.0
815,0.17407417,0.04568863,-100.0,-100.0
840,0.16827488,0.040543556,-100.0,-100.0
865,0.16204548,0.03488636,-100.0,-100.0
891,0.15507221,0.028759956,-100.0,-100.0
919,0.14844418,0.021716118,-100.0,-100.0
947,0.14009094,0.0146923065,-100.0,-100.0
975,0.13284016,0.0074510574,-100.0,-100.0
1005,0.12508774,0.0,-100.0,-100.0
1036,0.11543846,-0.007078171,-100.0,-100.0
1067,0.107292175,-0.016290665,-100.0,-100.0
1099,0.096982956,-0.025133133,-100.0,-100.0
1133,0.086606026,-0.03454113,-100.0,-100.0
1167,0.07623863,-0.044368744,-100.0,-100.0
1203,0.06449318,-0.054798126,-100.0,-100.0
1239,0.05435753,-0.06431198,-100.0,-100.0
1277,0.04140663,-0.07569313,-100.0,-100.0
1315,0.028787613,-0.08773422,-100.0,-100.0
1355,0.015917778,-0.09953976,-100.0,-100.0
1396,0.003490448,-0.11187172,-100.0,-100.0
1438,-0.010767937,-0.12525845,-100.0,-100.0
1482,-0.024568558,-0.13771439,-100.0,-100.0
1527,-0.040114403,-0.15222073,-100.0,-100.0
1573,-0.055181503,-0.16656303,-100.0,-100.0
1621,-0.070931435,-0.1809473,-100.0,-100.0
1670,-0.087278366,-0.1964817,-100.0,-100.0
1720,-0.1039114,-0.21173763,-100.0,-100.0
1772,-0.12094784,-0.22755146,-100.0,-100.0
1825,-0.13913345,-0.24458694,-100.0,-100.0
1881,-0.15777206,-0.26165962,-100.0,-100.0
1937,-0.17546463,-0.2784462,-100.0,-100.0
1996,-0.19472313,-0.29697227,-100.0,-100.0
2056,-0.21463585,-0.31529808,-100.0,-100.0
2118,-0.23385239,-0.3337803,-100.0,-100.0
2182,-0.25498486,-0.35358524,-100.0,-100.0
2248,-0.27505112,-0.37301064,-100.0,-100.0
2316,-0.2978878,-0.39432716,-100.0,-100.0
2385,-0.31929588,-0.4148178,-100.0,-100.0
2457,-0.34013844,-0.43534756,-100.0,-100.0
2531,-0.36356735,-0.4572544,-100.0,-100.0
2608,-0.38591194,-0.47938728,-100.0,-100.0
2686,-0.40962505,-0.50230503,-100.0,-100.0
2767,-0.4344406,-0.52599716,-100.0,-100.0
2850,-0.45794678,-0.54896545,-100.0,-100.0
2936,-0.48113632,-0.5726299,-100.0,-100.0
3025,-0.50712013,-0.59718895,-100.0,-100.0
3116,-0.532629,-0.6218262,-100.0,-100.0
3210,-0.55723095,-0.6470747,-100.0,-100.0
3306,-0.5824652,-0.67187405,-100.0,-100.0
3406,-0.60809326,-0.6976414,-100.0,-100.0
3508,-0.63284683,-0.7219715,-100.0,-100.0
3614,-0.65845776,-0.7484865,-100.0,-100.0
3722,-0.68311787,-0.7721262,-100.0,-100.0
3834,-0.7075968,-0.79703426,-100.0,-100.0
3950,-0.73145866,-0.82164955,-100.0,-100.0
4068,-0.7553091,-0.846015,-100.0,-100.0
4191,-0.7783022,-0.86929226,-100.0,-100.0
4317,-0.8016329,-0.89422894,-100.0,-100.0
4446,-0.82435226,-0.9176235,-100.0,-100.0
4580,-0.84656525,-0.9409046,-100.0,-100.0
4718,-0.86944485,-0.9652605,-100.0,-100.0
4860,-0.8915081,-0.98838043,-100.0,-100.0
5006,-0.9142952,-1.0133743,-100.0,-100.0
5156,-0.9382305,-1.0386314,-100.0,-100.0
5311,-0.96218014,-1.064477,-100.0,-100.0
5470,-0.98626614,-1.0906496,-100.0,-100.0
5635,-1.0111856,-1.117404,-100.0,-100.0
5804,-1.0359097,-1.144516,-100.0,-100.0
5978,-1.0611744,-1.1721401,-100.0,-100.0
6158,-1.0857182,-1.1992931,-100.0,-100.0
6343,-1.1100864,-1.2259941,-100.0,-100.0
6533,-1.1341133,-1.2529411,-100.0,-100.0
6729,-1.1566067,-1.2782116,-100.0,-100.0
6931,-1.1777964,-1.3029757,-100.0,-100.0
7140,-1.2008619,-1.3278666,-100.0,-100.0
7354,-1.2220201,-1.3526354,-100.0,-100.0
7575,-1.2451,-1.3791866,-100.0,-100.0
7802,-1.2673378,-1.405077,-100.0,-100.0
8036,-1.2918653,-1.4327478,-100.0,-100.0
8277,-1.3161306,-1.4600973,-100.0,-100.0
8526,-1.3409424,-1.4889851,-100.0,-100.0
8782,-1.3639317,-1.5150833,-100.0,-100.0
9045,-1.3862314,-1.5406799,-100.0,-100.0
9317,-1.4067774,-1.5647774,-100.0,-100.0
9596,-1.4259176,-1.587965,-100.0,-100.0
9884,-1.4444637,-1.609993,-100.0,-100.0
10181,-1.4639015,-1.6331024,-100.0,-100.0
10486,-1.4860077,-1.6581631,-100.0,-100.0
10801,-1.5075417,-1.6837006,-100.0,-100.0
11125,-1.5296955,-1.7097034,-100.0,-100.0
11459,-1.5487404,-1.7323685,-100.0,-100.0
11802,-1.5662003,-1.7530403,-100.0,-100.0
12156,-1.5808792,-1.7707462,-100.0,-100.0
12521,-1.5963039,-1.7895164,-100.0,-100.0
12897,-1.6136131,-1.8106899,-100.0,-100.0
13283,-1.6326542,-1.8327999,-100.0,-100.0
13682,-1.6523972,-1.8555775,-100.0,-100.0
14092,-1.6679287,-1.8740635,-100.0,-100.0
14515,-1.6788521,-1.8879128,-100.0,-100.0
14950,-1.6873188,-1.8997841,-100.0,-100.0
15398,-1.6988583,-1.9140587,-100.0,-100.0
15860,-1.7129822,-1.9313889,-100.0,-100.0
16336,-1.7255077,-1.9462395,-100.0,-100.0
16826,-1.7328854,-1.9565582,-100.0,-100.0
17330,-1.7374954,-1.9635506,-100.0,-100.0
17850,-1.7424259,-1.9708729,-100.0,-100.0
18385,-1.752739,-1.9837437,-100.0,-100.0
18936,-1.7825413,-2.0158558,-100.0,-100.0
19504,-1.8869781,-2.122078,-100.0,-100.0
20089,-2.1810608,-2.418312,-100.0,-100.0
20691,-2.8057308,-3.0450459,-100.0,-100.0
21312,-3.9343739,-4.176035,-100.0,-100.0
21951,-5.8768673,-6.11977,-100.0,-100.0
22609,-9.281776,-9.526699,-100.0,-100.0
23286,-15.33568,-15.591898,-100.0,-100.0
23999,-24.759142,-25.166204,-100.0,-100.0
