Frequency (Hz),Channel 1 level (dBFS),Channel 2 level (dBFS),Channel 1 THD (IEEE) (%),Channel 2 THD (IEEE) (%)
10,-13.117648,-13.238925,0.0,0.0
11,-12.618331,-12.741153,0.0,0.0
12,-10.933331,-11.056628,0.0,0.0
13,-10.414221,-10.536851,0.0,0.0
14,-9.619509,-9.740303,0.0,0.0
15,-8.717182,-8.834301,0.0,0.0
16,-8.442637,-8.559728,0.0,0.0
17,-7.61769,-7.7332478,0.0,0.0
18,-7.334325,-7.4484777,0.0,0.0
19,-6.998542,-7.1101866,0.0,0.0
20,-6.4981747,-6.6093073,0.0,0.0
21,-6.1297064,-6.238759,0.0,0.0
22,-5.7728405,-5.8802977,0.0,0.0
23,-5.4957857,-5.6012573,0.0,0.0
24,-5.2073774,-5.3127832,0.0,0.0
25,-4.973016,-5.0763454,0.0,0.0
26,-4.695053,-4.795705,0.0,0.0
27,-4.4798546,-4.5799837,0.0,0.0
28,-4.1903954,-4.287614,0.0,0.0
30,-3.8925498,-3.9886343,0.0,0.0
31,-3.709008,-3.8023155,0.0,0.0
32,-3.5005486,-3.5936253,0.0,0.0
34,-3.2221959,-3.3129618,0.0,0.0
35,-3.0795157,-3.1689875,0.0,0.0
36,-2.9427245,-3.030772,0.0,0.0
38,-2.7166197,-2.801903,0.0,0.0
39,-2.582341,-2.6669872,0.0,0.0
41,-2.39478,-2.4766643,0.0,0.0
42,-2.304684,-2.3864129,0.0,0.0
44,-2.1290324,-2.2083437,0.0,0.0
46,-1.9693282,-2.0473125,0.0,0.0
48,-1.8255637,-1.900718,0.0,0.0
49,-1.7581184,-1.8331473,0.0,0.0
51,-1.6417239,-1.7150109,0.0,0.0
53,-1.5207493,-1.592583,0.0,0.0
55,-1.4220221,-1.4932215,0.0,0.0
57,-1.3286574,-1.3977392,0.0,0.0
59,-1.2426507,-1.3109457,0.0,0.0
61,-1.1653655,-1.2328923,0.0,0.0
64,-1.0538595,-1.1188881,0.0,0.0
66,-0.9914572,-1.0564573,0.0,0.0
68,-0.93051934,-0.9946425,0.0,0.0
71,-0.8497541,-0.9123566,0.0,0.0
73,-0.7988007,-0.8611734,0.0,0.0
76,-0.73228097,-0.7939255,0.0,0.0
78,-0.6885798,-0.7481444,0.0,0.0
81,-0.6312492,-0.6912892,0.0,0.0
84,-0.5788114,-0.6374829,0.0,0.0
87,-0.53112626,-0.58909345,0.0,0.0
90,-0.48887658,-0.54623294,0.0,0.0
93,-0.44869113,-0.505038,0.0,0.0
96,-0.41305804,-0.46877885,0.0,0.0
99,-0.38064003,-0.43505883,0.0,0.0
102,-0.34898162,-0.40339828,0.0,0.0
106,-0.3123839,-0.3664286,0.0,0.0
109,-0.287369,-0.34040093,0.0,0.0
113,-0.2556343,-0.30895853,0.0,0.0
117,-0.22805834,-0.2812333,0.002247237,0.0048194025
121,-0.202883,-0.2551949,0.002247237,0.0048194025
125,-0.17931414,-0.23105574,0.002247237,0.0048194025
129,-0.15849948,-0.2103827,0.009661444,0.009789023
133,-0.13924623,-0.1905253,0.009661444,0.009789023
137,-0.121121645,-0.17231154,0.009661444,0.009789023
142,-0.10158515,-0.15177655,0.009661444,0.009789023
146,-0.08704567,-0.13715935,0.009661444,0.009789023
151,-0.0698545,-0.11978316,0.009661444,0.009789023
156,-0.05491662,-0.10425305,0.009661444,0.009789023
161,-0.04090762,-0.08979678,0.009661444,0.009789023
166,-0.028155327,-0.07729864,0.009661444,0.009789023
172,-0.014485598,-0.063168764,0.009661444,0.009789023
177,-0.0040504932,-0.052478552,0.00023609791,0.003232453
183,0.0077078342,-0.04063344,0.00023609791,0.003232453
189,0.01751113,-0.030332804,0.004836864,0.0021004213
195,0.027242184,-0.020792961,0.004836864,0.0021004213
201,0.03549266,-0.011996508,0.0020243293,0.0042299405
208,0.04487133,-0.0027103424,0.0014455811,0.0025982135
214,0.052006245,0.0043439865,0.002378921,0.0004303194
221,0.059440374,0.012268305,0.0039256825,0.0047643576
228,0.06593251,0.019133806,0.0039256825,0.0047643576
235,0.07212067,0.02554226,0.008678542,0.009196143
242,0.07765913,0.031226635,0.008678542,0.00038411454
250,0.08373308,0.037191868,0.0016076588,0.0011653953
258,0.08852148,0.04250288,0.010170799,0.009792427
266,0.092947245,0.047321558,0.0059871413,0.0038406975
274,0.097590685,0.05164838,0.0024899102,0.0007688639
283,0.10146785,0.056135416,0.006229741,0.008261478
292,0.105131865,0.060120344,0.008732342,0.0062165316
301,0.108659506,0.06340146,0.0050786077,0.0051712953
310,0.111368656,0.066411495,0.004000363,0.0041106017
320,0.11400485,0.06945777,0.0077671814,0.007349072
330,0.11642146,0.07203174,0.007991915,0.0077492516
340,0.118929625,0.07417369,0.009202596,0.007056097
351,0.12100434,0.076272726,0.0041645444,0.005217651
362,0.122671366,0.07814956,0.005071079,0.004644964
373,0.123906374,0.0798285,0.0082034385,0.006582831
385,0.12501073,0.08129048,0.005848855,0.0067499876
